,rewardSum,profit,guessedRightCnt,guessedWrongCnt,skipCnt,guessCnt
20098,-1.0,0.0,0.0,1.0,0.0,1.0
20099,1.0,8.0,3.0,2.0,2.0,23.0
20100,3.0,-6.0,5.0,2.0,3.0,51.0
20101,0.0,0.0,0.0,0.0,1.0,1.0
20102,0.0,-24.0,1.0,1.0,0.0,71.0
20103,3.0,9.0,5.0,2.0,2.0,71.0
20104,3.0,-2.0,4.0,1.0,1.0,12.0
20105,-1.0,-15.0,0.0,1.0,0.0,6.0
20106,4.0,-5.0,5.0,1.0,2.0,17.0
20107,1.0,28.0,1.0,0.0,0.0,4.0
20108,0.0,-21.0,0.0,0.0,1.0,17.0
20109,1.0,14.0,1.0,0.0,1.0,9.0
20110,6.0,-16.0,6.0,0.0,2.0,51.0
20111,2.0,0.0,2.0,0.0,0.0,3.0
20112,0.0,0.0,0.0,0.0,1.0,1.0
20113,1.0,-6.0,2.0,1.0,0.0,7.0
20114,3.0,41.0,3.0,0.0,1.0,16.0
20115,-1.0,4.0,0.0,1.0,0.0,71.0
20116,2.0,33.0,3.0,1.0,2.0,71.0
20117,2.0,-10.0,2.0,0.0,2.0,22.0
20118,2.0,36.0,2.0,0.0,1.0,57.0
20119,3.0,-14.0,4.0,1.0,0.0,41.0
